,K,L,R,_lambda,n_iterations,acc
0,0.05,0.075,2,1.0,2000,0.6958211856171039
1,0.3,0.175,1,0.1,10000,0.8357628765792031
2,0.3,0.125,1,0.1,10000,0.7356656948493683
3,0.15,0.175,3,0.01,5000,0.923226433430515
4,0.15,0.075,2,0.1,10000,0.6909620991253644
5,0.3,0.125,3,1.0,10000,0.9494655004859086
6,0.15,0.075,2,0.1,5000,0.6909620991253644
7,0.05,0.2,2,1.0,10000,0.8289601554907677
8,0.15,0.075,3,0.1,10000,0.7123420796890184
9,0.15,0.125,1,0.01,5000,0.8318756073858115
10,0.15,0.125,1,0.1,10000,0.7123420796890184
11,0.05,0.075,3,1.0,2000,0.7133138969873664
12,0.3,0.2,3,0.01,2000,0.9650145772594753
13,0.05,0.2,2,0.01,2000,0.8969873663751214
14,0.3,0.175,1,1.0,5000,0.8056365403304179
15,0.3,0.125,1,0.1,2000,0.7327502429543246
16,0.3,0.125,1,1.0,5000,0.7346938775510204
17,0.15,0.2,3,0.01,5000,0.9397473275024295
18,0.15,0.2,2,0.01,5000,0.9144800777453839
19,0.3,0.2,2,0.1,10000,0.9514091350826045
20,0.05,0.2,2,1.0,5000,0.8163265306122449
21,0.3,0.075,3,0.1,10000,0.8386783284742468
22,0.15,0.075,3,0.01,5000,0.8328474246841594
23,0.3,0.125,3,1.0,2000,0.93488824101069
24,0.05,0.175,3,0.1,2000,0.9572400388726919
25,0.05,0.125,2,0.1,5000,0.8134110787172012
26,0.05,0.125,1,0.01,10000,0.7152575315840622
27,0.05,0.125,2,0.1,10000,0.8134110787172012
28,0.05,0.125,3,0.1,10000,0.9339164237123421
29,0.15,0.075,3,0.01,2000,0.8357628765792031
30,0.15,0.2,2,0.01,2000,0.8688046647230321
31,0.15,0.175,1,1.0,2000,0.6618075801749271
32,0.15,0.2,1,0.01,2000,0.8445092322643343
33,0.3,0.175,3,0.1,5000,0.9523809523809523
34,0.15,0.125,3,0.1,10000,0.9378036929057337
35,0.3,0.125,2,1.0,10000,0.9086491739552964
36,0.3,0.2,3,0.01,10000,0.967930029154519
37,0.05,0.125,1,0.1,2000,0.7142857142857143
38,0.15,0.125,2,0.1,5000,0.892128279883382
39,0.15,0.2,3,0.1,5000,0.9358600583090378
40,0.05,0.125,3,1.0,2000,0.8211856171039844
41,0.3,0.175,3,1.0,5000,0.9533527696793003
42,0.15,0.125,2,0.01,2000,0.8833819241982507
43,0.3,0.175,2,1.0,5000,0.9154518950437318
44,0.15,0.075,1,0.1,5000,0.5286686103012633
45,0.3,0.2,1,0.01,5000,0.8775510204081632
46,0.15,0.2,1,0.01,5000,0.771622934888241
47,0.3,0.125,3,1.0,10000,0.9407191448007775
48,0.05,0.075,2,0.1,10000,0.6909620991253644
49,0.05,0.125,1,0.01,2000,0.5694849368318756
